s,x,y,psi,kappa,v
13.841784,4.985018443740153,-4.021079841518725,-0.496372,0.0,3.0
13.941426,5.0786622836792725,-4.071709016432683,-0.473663,0.0,3.0
14.041001,5.182415185921831,-4.124363634604936,-0.417722,0.0,3.0
14.140636,5.288427919422076,-4.170940371651224,-0.363838,0.0,3.0
14.240264,5.380426207987932,-4.205970055748297,-0.367792,0.0,3.0
14.339901,5.49303935839964,-4.248590814308644,-0.298509,0.0,3.0
14.43955,5.592146354534183,-4.279058687537114,-0.285057,0.0,3.0
14.539165,5.6867238919876915,-4.306770578500269,-0.288593,0.0,3.0
14.638799,5.784119278374217,-4.335679733070715,-0.282054,0.0,3.0
14.738435,5.891067106218218,-4.366434972436241,-0.243224,0.0,3.0
14.838033,5.98884048820954,-4.39069427684075,-0.239426,0.0,3.0
14.93763,6.100943281365333,-4.417636733731112,-0.187075,0.0,3.0
15.037169,6.235347919262001,-4.440768349114855,-0.064024,0.0,3.0
15.136688,6.380633220762519,-4.446553667326912,0.089373,0.0,3.0
15.236071,6.52215165271317,-4.430764070581259,0.233135,0.0,3.0
15.335633,6.653806653296788,-4.397240146864159,0.354355,0.0,3.0
15.435239,6.773406294520504,-4.351553612124298,0.449214,0.0,3.0
15.534846,6.8726413933317,-4.303504055193837,0.484717,0.0,3.0
15.634478,6.976628822671189,-4.248117936507546,0.545368,0.0,3.0
15.734107,7.072884601539678,-4.189378485443305,0.589159,0.0,3.0
15.83375,7.158642534409924,-4.132038487663591,0.600892,0.0,3.0
15.933394,7.2475535052325855,-4.070958602572715,0.62831,0.0,3.0
16.033024,7.341001986668084,-4.002524413216596,0.682326,0.0,3.0
16.132651,7.432003263422833,-3.9278831062989426,0.742589,0.0,3.0
16.232274,7.523552619984795,-3.8423628827570675,0.8282,0.0,3.0
16.33183,7.603792500961751,-3.753973465975986,0.894317,0.0,3.0
16.431417,7.678079958728927,-3.6603876280986705,0.960689,0.0,3.0
16.531067,7.746309212057484,-3.561573146571582,1.028839,0.0,3.0
16.630704,7.8041528967620835,-3.4649592671095877,1.072085,0.0,3.0
16.730315,7.855742331575375,-3.369986075771938,1.100317,0.0,3.0
16.829954,7.910919846084894,-3.259373782459632,1.180298,0.0,3.0
16.929586,7.951668663311034,-3.1601251542020505,1.20582,0.0,3.0
17.029234,7.980142077307073,-3.0840243576088815,1.14446,0.0,3.0
17.128828,8.016532194449763,-3.0034039952981435,1.107313,0.0,3.0
17.228475,8.0553403155501,-2.925188123640165,1.066189,0.0,3.0
17.328095,8.091145644982934,-2.8583972441274947,0.98663,0.0,3.0
17.427701,8.129459567766977,-2.7980479224128745,0.892711,0.0,3.0
17.527241,8.173680764468209,-2.7411387943679633,0.800981,0.0,3.0
17.62689,8.220908891202432,-2.6902230009428445,0.700081,0.0,3.0
17.726533,8.284487897436955,-2.6360939193599466,0.646241,0.0,3.0
17.82613,8.342748912478966,-2.5907577728894453,0.560193,0.0,3.0
17.925761,8.419461097052052,-2.542483418560924,0.530209,0.0,3.0
18.02541,8.504371669010007,-2.492705804259835,0.526132,0.0,3.0
18.125047,8.569068871932307,-2.4539987207695546,0.445205,0.0,3.0
18.224655,8.637177908901583,-2.4204619770231153,0.366139,0.0,3.0
18.324301,8.700932097669497,-2.394323299470397,0.263423,0.0,3.0
18.423711,8.759560105029118,-2.3760045764337887,0.136302,0.0,3.0
18.523237,8.816122203854556,-2.365260282973701,-0.004256,0.0,3.0
18.622685,8.869014702015313,-2.361849399593703,-0.160121,0.0,3.0
18.722244,8.914428289383805,-2.364152927491347,-0.342326,0.0,3.0
18.821519,8.930931214062143,-2.3565810311341484,-0.634013,0.0,3.0
18.920312,8.942508512766729,-2.3455011032381154,-0.959849,0.0,3.0
19.019377,8.951447566751419,-2.3160909403460597,-1.3642,0.0,3.0
19.118425,8.965638218556574,-2.339170566456248,-1.611886,0.0,3.0
19.217779,8.968751985949922,-2.384332183747468,-1.79409,0.0,3.0
19.317361,8.951448210656674,-2.4632041775151134,-1.856917,0.0,3.0
19.417008,8.919614568632669,-2.572622725496448,-1.809206,0.0,3.0
19.51649,8.892270662054992,-2.6876041746904322,-1.74682,0.0,3.0
19.61614,8.875187561497798,-2.7836905873309608,-1.753672,0.0,3.0
19.715752,8.857481579808436,-2.8794755547489586,-1.761023,0.0,3.0
19.815348,8.835762734471597,-2.995160019596216,-1.700624,0.0,3.0
19.914958,8.822717487450145,-3.095092763185355,-1.696723,0.0,3.0
20.014526,8.812793511499374,-3.177242174657969,-1.752826,0.0,3.0
20.114151,8.792561507213872,-3.288933332054726,-1.706535,0.0,3.0
20.213756,8.786217592032555,-3.35180561705036,-1.828342,0.0,3.0
20.313263,8.771615984804242,-3.4150955516266412,-1.943883,0.0,3.0
20.412872,8.737115968352688,-3.5033439311794927,-1.960074,0.0,3.0
20.512506,8.702037408393624,-3.589073547849164,-1.983428,0.0,3.0
20.612147,8.66661164654812,-3.670488088006976,-2.019613,0.0,3.0
20.711767,8.62208854233019,-3.7629716182910298,-2.009535,0.0,3.0
20.811384,8.57771397151682,-3.857633878030555,-1.993101,0.0,3.0
20.911034,8.53718441737934,-3.947833672925488,-1.995643,0.0,3.0
21.010674,8.493142905022815,-4.045407180486779,-1.970935,0.0,3.0
21.110322,8.45186917873536,-4.143171854832752,-1.949361,0.0,3.0
21.209969,8.428170125349359,-4.207208839370797,-2.054168,0.0,3.0
21.30954,8.384066601209435,-4.2913054744389125,-2.069539,0.0,3.0
21.40918,8.32982237189162,-4.3916198851204244,-2.02152,0.0,3.0
21.508758,8.281891882427661,-4.491110979151436,-1.985323,0.0,3.0
21.608364,8.245292728236391,-4.574582752722164,-2.013537,0.0,3.0
21.708,8.20372593480577,-4.662279356490543,-2.022159,0.0,3.0
21.807649,8.1539125544326,-4.76594400939359,-1.970932,0.0,3.0
21.907251,8.11280900683533,-4.863283895239265,-1.950728,0.0,3.0
22.006846,8.074077765478595,-4.960384920913802,-1.934242,0.0,3.0
22.106447,8.043141809071082,-5.0423920989343225,-1.974097,0.0,3.0
22.205996,8.00788570427916,-5.125391225122984,-2.005343,0.0,3.0
22.305611,7.968224407478108,-5.210954464899105,-2.023033,0.0,3.0
22.405228,7.92162044491421,-5.307082348532151,-1.998987,0.0,3.0
22.504878,7.880676960329641,-5.39679090085461,-2.002454,0.0,3.0
22.604527,7.845443631483745,-5.474136991420551,-2.051331,0.0,3.0
22.704107,7.799705829828054,-5.561877989119098,-2.053441,0.0,3.0
22.803756,7.749465339664794,-5.658040884475383,-2.023947,0.0,3.0
22.903366,7.705253339662902,-5.748842503522888,-2.019334,0.0,3.0
23.002973,7.661457453812771,-5.839855644218493,-2.014685,0.0,3.0
23.102578,7.621397482001178,-5.924244900171156,-2.03532,0.0,3.0
23.202225,7.577167051784071,-6.012514681085441,-2.038373,0.0,3.0
23.301834,7.530430479911662,-6.105140334101015,-2.024572,0.0,3.0
23.401463,7.484213831431838,-6.200033933143387,-2.004837,0.0,3.0
23.501112,7.441186875375137,-6.2928899965837335,-1.995865,0.0,3.0
23.600762,7.399511864676211,-6.384963634509829,-1.991144,0.0,3.0
23.700412,7.358840866260102,-6.475952054979423,-1.991095,0.0,3.0
