s,x,y,psi,kappa,v
13.044771,4.269871667669631,-4.042461592838549,-0.2124,-0.364619,1.01297026
13.144406,4.336723582309638,-4.0560360072621435,-0.264805,-0.247172,1.2225873
13.244029,4.434695560048945,-4.082599725734831,-0.261651,-0.552148,0.8269256199999999
13.343666,4.46648502248001,-4.087139744462224,-0.374826,-1.018549,0.61133488
13.443232,4.509993234451438,-4.1016632402250774,-0.464549,-0.604645,0.7908233299999999
13.542877,4.58272100530867,-4.137791842648522,-0.495278,-0.306166,1.10264148
13.642513,4.654532221578495,-4.176270717125486,-0.525562,-0.155786,1.52271287
13.742157,4.740328401861154,-4.226029628233822,-0.526323,0.146484,1.56731691
13.841784,4.842149014782147,-4.284875835180759,-0.496372,0.264266,1.18387481
13.941426,4.941817450555585,-4.338679972994176,-0.473663,0.394796,0.9744819
14.041001,5.060710850960431,-4.398568038019188,-0.417722,0.551303,0.82754779
14.140636,5.181668442729111,-4.451301592465256,-0.363838,0.250573,1.21458155
14.240264,5.272562599464926,-4.485908338164646,-0.367792,0.32785,1.06666939
14.339901,5.404806759275838,-4.5353224108592,-0.298509,0.415157,0.95086083
14.43955,5.507787809343202,-4.566953869621471,-0.285057,0.049763,1.705
14.539165,5.601337293145108,-4.594362526848096,-0.288593,0.015072,1.705
14.638799,5.700623927596091,-4.623826442933236,-0.282054,0.227676,1.27174183
14.738435,5.818814997514917,-4.657604395265167,-0.243224,0.213959,1.31010774
14.838033,5.91769532497753,-4.682136150548246,-0.239426,0.28188,1.1475983
14.93763,6.045153197222966,-4.712403533978071,-0.187075,0.880815,0.65689806
15.037169,6.216149310500992,-4.740153407913612,-0.064024,1.388781,0.52422395
15.136688,6.407413600102459,-4.745355961981965,0.089373,1.493997,0.50555482
15.236071,6.59145707930977,-4.722648907203103,0.233135,1.331936,0.5352119000000001
15.335633,6.7579022353773075,-4.678601320076314,0.354355,1.084908,0.59251974
15.435239,6.903682764399859,-4.621790621795794,0.449214,0.654385,0.76064452
15.534846,7.012432156951062,-4.568944335509336,0.484717,0.482606,0.88336794
15.634478,7.1322479870643765,-4.504599272424728,0.545368,0.524147,0.84832337
15.734107,7.239582577350498,-4.438801389084608,0.589159,0.278634,1.15403173
15.83375,7.328253681203553,-4.379489611903388,0.600892,0.196455,1.3645158400000001
15.933394,7.423888073545031,-4.313664432784778,0.62831,0.408653,0.95821806
16.033024,7.530180749219276,-4.2353578210446905,0.682326,0.573526,0.81163673
16.132651,7.63486396476223,-4.148897892804264,0.742589,0.732115,0.71970747
16.232274,7.744566212545081,-4.045224884878584,0.8282,0.761767,0.70574631
16.33183,7.837730839710957,-3.941784151726427,0.894317,0.665296,0.75447459
16.431417,7.923956340937225,-3.8322736504286796,0.960689,0.675186,0.74900991
16.531067,8.003318057640966,-3.716319562670163,1.028839,0.558973,0.82195105
16.630704,8.067612090544133,-3.6084488249623887,1.072085,0.358739,1.02101538
16.730315,8.123148984711216,-3.5059775529421553,1.100317,0.543102,0.8336603699999999
16.829954,8.188335674861232,-3.3735686069673063,1.180298,0.529445,0.84414705
16.929586,8.231908174755036,-3.267203705862583,1.20582,-0.179837,1.42298649
17.029234,8.253287868164689,-3.208086345892993,1.14446,-0.494409,0.87297209
17.128828,8.284882864180886,-3.137523039640931,1.107313,-0.392846,0.97683728
17.228475,8.317947633879207,-3.0702308634396074,1.066189,-0.605635,0.79018752
17.328095,8.34139845058915,-3.023846732759015,0.98663,-0.87076,0.66063697
17.427701,8.363090715281489,-2.9862406080136066,0.892711,-0.932226,0.63872555
17.527241,8.38909275386855,-2.949939356681958,0.800981,-0.967071,0.6272326100000001
17.62689,8.414192849541548,-2.919659945327934,0.700081,-0.776449,0.69912781
17.726533,8.465145358127883,-2.8755994138625884,0.646241,-0.702108,0.7347148800000001
17.82613,8.502153318918376,-2.844903863175874,0.560193,-0.582408,0.80552911
17.925761,8.571176690999955,-2.801292959641889,0.530209,-0.17092,1.4576324
18.02541,8.655028868093485,-2.7521328814211627,0.526132,-0.426543,0.93837899
18.125047,8.698260452454432,-2.7247560577398,0.445205,-0.802996,0.6876181299999999
18.224655,8.744582329667319,-2.7005767577829447,0.366139,-0.912313,0.64558368
18.324301,8.77904898850327,-2.683974385031632,0.263423,-1.154635,0.5745090500000001
18.423711,8.80032634937296,-2.6732218594514987,0.136302,-1.345553,0.53251676
18.523237,8.814840876700371,-2.665257546646204,-0.004256,-1.489757,0.5062687499999999
18.622685,8.821186600575327,-2.658012315432078,-0.160121,-1.698784,0.47429442
18.722244,8.81372609844651,-2.646746396527222,-0.342326,-2.383355,0.40076335
18.821519,8.75321567170512,-2.598277506088149,-0.634013,-3.117732,0.35057186999999995
18.920312,8.696778255315383,-2.5175959624733446,-0.959849,-3.69046,0.32230266
19.019377,8.65782621559426,-2.3776255009982417,-1.3642,-3.291238,0.34123467
19.118425,8.665891360250821,-2.326849002530286,-1.611886,-2.166762,0.42022918
19.217779,8.676200561909008,-2.317896769282118,-1.79409,-1.231708,0.55639358
19.317361,8.663643342872811,-2.3785380208336293,-1.856917,-0.075872,1.705
19.417008,8.628100635167446,-2.5017734022967475,-1.809206,0.552893,0.82637816
19.51649,8.59690621347159,-2.63506997142035,-1.74682,0.27888,1.15354007
19.61614,8.580189651665743,-2.729135723220812,-1.753672,-0.071278,1.705
19.715752,8.56289352074316,-2.8227492340681946,-1.761023,0.266295,1.1795205500000001
19.815348,8.538287565775821,-2.956320297536197,-1.700624,0.322781,1.07476163
19.914958,8.52509291429061,-3.0574150051347306,-1.696723,-0.262087,1.1886054099999999
20.014526,8.517750126891388,-3.122933784889636,-1.752826,-0.049259,1.705
20.114151,8.49532128787928,-3.2483346619784035,-1.706535,-0.379039,0.99401965
20.213756,8.496111876981962,-3.2753943999699455,-1.828342,-1.192033,0.5655013799999999
20.313263,8.492254375173133,-3.305747067115263,-1.943883,-0.661584,0.75655655
20.412872,8.459560449044364,-3.3894890511685247,-1.960074,-0.198476,1.35788618
20.512506,8.427216405145039,-3.4687680360304265,-1.983428,-0.298778,1.11575417
20.612147,8.396323937434861,-3.540316838095909,-2.019613,-0.131019,1.6510212499999999
20.711767,8.350501963621513,-3.635532494528522,-2.009535,0.133068,1.6391584799999999
20.811384,8.304070549001777,-3.7346734074908454,-1.993101,0.069716,1.705
20.911034,8.263853638295465,-3.8241797801217614,-1.995643,0.111225,1.705
21.010674,8.21683930624054,-3.9285469164642475,-1.970935,0.232237,1.25971321
21.110322,8.173110333083038,-4.032295770979708,-1.949361,-0.417637,0.94809966
21.209969,8.162542473358037,-4.067774444370811,-2.054168,-0.603249,0.7917232599999999
21.30954,8.120610317504514,-4.1478105735605055,-2.069539,0.163887,1.48682107
21.40918,8.059783444481242,-4.260933322366841,-2.02152,0.422733,0.94250075
21.508758,8.007299865861109,-4.370283728756728,-1.985323,0.040079,1.705
21.608364,7.974216786449342,-4.446061027742058,-2.013537,-0.184881,1.40445314
21.708,7.933771405092474,-4.5314185453457645,-2.022159,0.213789,1.3106056
21.807649,7.877609709984046,-4.64908196187532,-1.970932,0.358498,1.02134956
21.907251,7.8342008660621625,-4.752029664309797,-1.950728,0.18419,1.4069505
22.006846,7.793674685934981,-4.853735434358298,-1.934242,-0.117317,1.705
22.106447,7.767211639712089,-4.924652803705815,-1.974097,-0.357022,1.02340021
22.205996,7.735767647996074,-4.9990909343676675,-2.005343,-0.245707,1.22608441
22.305611,7.698382477979577,-5.079861623428616,-2.023033,0.031903,1.705
22.405228,7.648703815181942,-5.182517051523196,-1.998987,0.103273,1.705
22.504878,7.60819478316184,-5.271278100208821,-2.002454,-0.262641,1.18739827
22.604527,7.579419251804193,-5.335461004255828,-2.051331,-0.255922,1.20230555
22.704107,7.533976267628129,-5.422637909475921,-2.053441,0.13745,1.6146170199999998
22.803756,7.479743648560174,-5.526700832139221,-2.023947,0.171169,1.45663079
22.903366,7.434926692786356,-5.618752134936372,-2.019334,0.046492,1.705
23.002973,7.390531477310837,-5.711018090464342,-2.014685,-0.080246,1.705
23.102578,7.353187925564006,-5.789843881432164,-2.03532,-0.118885,1.705
23.202225,7.309367951830076,-5.877297662689505,-2.038373,0.053941,1.705
23.301834,7.2607912228951506,-5.97363112881194,-2.024572,0.168321,1.46821642
23.401463,7.212030647091311,-6.073874057726646,-2.004837,0.144055,1.57962391
23.501112,7.167883942464109,-6.169174569646191,-1.995865,0.068706,1.705
23.600762,7.125627997070863,-6.262539670083939,-1.991144,0.023934,1.705
23.700412,7.084949776578679,-6.353544248872674,-1.991095,-0.022459,1.705
23.800062,7.04540495425116,-6.4420411342079005,-1.99562,0.085284,1.705
23.899711,6.999137953884192,-6.544654067414308,-1.974098,-0.127653,1.6710844500000002
23.999344,6.971696046786509,-6.610651386823469,-2.021059,-0.483893,0.88221629
24.098945,6.941919101096899,-6.6739394903697775,-2.070506,-0.506357,0.86281308
24.198575,6.909654201407438,-6.734695635214644,-2.121941,-0.06365,1.705
24.298222,6.84568660805405,-6.839622824551205,-2.08319,0.278947,1.1534067700000001
24.397835,6.791973723118927,-6.935284211707429,-2.066358,0.162764,1.49164436
24.497437,6.7402214790228845,-7.031175793525375,-2.050765,0.058892,1.705
24.597031,6.69531209480357,-7.117456451184079,-2.054627,0.163957,1.4865194400000001
24.696672,6.639119013642687,-7.225250543984758,-2.018099,0.263166,1.18625561
24.796312,6.591963513306974,-7.3237230186319415,-2.002183,0.367715,1.00881099
24.895908,6.536832825571249,-7.445851812347045,-1.944837,0.535465,0.83947628
24.995524,6.490307000607157,-7.566381739486777,-1.895512,-0.002264,1.705
25.095154,6.468749092981532,-7.632751078659546,-1.945288,-0.342869,1.04372164
25.194731,6.436487570620076,-7.715115670350876,-1.963814,-0.168874,1.4659459799999999
25.294332,6.401876619606741,-7.798776239708133,-1.978924,0.027376,1.705
25.393958,6.3575560459321965,-7.901593204210727,-1.95836,0.273881,1.16365382
25.493594,6.3125094870166585,-8.012862230933228,-1.92435,0.221158,1.2895476099999998
25.593241,6.27594636391893,-8.1120215226239,-1.914287,-0.01841,1.705
25.69289,6.245217256909881,-8.198105597972983,-1.928019,0.003959,1.705
25.792536,6.207384857833542,-8.299648240996557,-1.913498,0.082414,1.705
25.892115,6.1735396939718985,-8.394514433851544,-1.9116,-0.078038,1.705
25.99176,6.143820453499175,-8.478590608362797,-1.929045,-0.193447,1.3745682099999998
26.091405,6.113448786613314,-8.56009214550522,-1.950152,-0.22354,1.28295484
26.191049,6.08190594644307,-8.639655861173472,-1.973594,-0.138844,1.60703814
26.290672,6.0438551530072,-8.728972150392627,-1.977819,-0.44102,0.92319612
26.390319,6.026181577685883,-8.775269250283682,-2.061476,-0.629359,0.77538812
26.489954,5.991494508707077,-8.841304260605856,-2.103239,-0.831843,0.67573459
26.589579,5.982561705692008,-8.865540384540317,-2.227229,-1.673057,0.47790592
26.689016,6.008217217541018,-8.853643492093536,-2.436281,-2.234997,0.41379358
26.788369,6.049762481684657,-8.839975186887006,-2.671524,-2.542919,0.38803692
26.887856,6.113820506283046,-8.83188195389278,-2.941915,-2.563951,0.38644848
26.987177,6.159280477733797,-8.840132999962156,-3.181258,-1.203642,0.5627901200000001
27.086705,6.135909369363126,-8.844084462334921,-3.181258,-2.025182,0.43460047
